est_tax,est_tax_co,num_units,tax_rate,pct_diff,pct_diff_co
4173155.8431126,5288283.855,2,0.25,0.26042156579153125,0.26042156579153114
5312596.442199,6732199.575,3,0.25,0.02049966538868636,0.02049966538868633
5248971.2323089,6651572.7825,4,0.25,0.03254609626311306,0.03254609626311307
5397074.9813412,6839252.01,5,0.25,0.004723925760601907,0.004723925760601899
5375293.058356799,6811649.64,6,0.25,0.008767920053731504,0.008767920053731369
5403619.721472,6847545.600000001,7,0.25,0.0035120198294152586,0.003512019829415102
5339007.9107037,6765668.5725,8,0.25,0.015540907239984436,0.015540907239984443
5411868.2417394,6857998.245,9,0.25,0.0019867061482848366,0.001986706148284738
5389945.3757724,6830217.2700000005,10,0.25,0.0060458023173389054,0.006045802317338771
5412686.094556799,6859034.64,11,0.25,0.001835595618214721,0.0018355956182145822
5356477.6495776,6787806.48,12,0.25,0.012274312998895306,0.012274312998895198
5417365.4974587,6864964.4475,13,0.25,0.0009714444595448277,0.0009714444595448445
5393784.3941556,6835082.130000001,14,0.25,0.005333806094182854,0.005333806094182722
5414532.7352676,6861374.73,15,0.25,0.0014944850387821572,0.0014944850387820679
5336274.8632758,6762205.215,16,0.25,0.01605290809800574,0.01605290809800571
5415830.9447808,6863019.84,17,0.25,0.0012547499859346162,0.001254749985934524
5405981.2355274,6850538.1450000005,18,0.25,0.0030750920114812324,0.0030750920114811153
5416351.0915023,6863678.9775,19,0.25,0.0011587127275689447,0.0011587127275689924
5375679.9324621,6812139.892500001,20,0.25,0.008695951361913975,0.008695951361913782
4381401.6566929,5552175.9825,2,0.275,0.21240832902365098,0.2124083290236509
5330935.4892649,6755439.0825000005,3,0.275,0.01705392118408546,0.01705392118408533
5277914.48102315,6688250.08875,4,0.275,0.027048386935513875,0.027048386935513747
5401334.2718834,6844649.445,5,0.275,0.003935055724576,0.003935055724575953
5383182.6693963995,6821647.47,6,0.275,0.0073012653022377985,0.007301265302237715
5406788.2219924005,6851560.7700000005,7,0.275,0.0029258268943400706,0.0029258268943400554
5352945.04635215,6783329.91375,8,0.275,0.012934005518320251,0.01293400551832016
5413661.9888819,6860271.3075,9,0.275,0.0016553144049618615,0.0016553144049618082
5395392.9339094,6837120.495,10,0.275,0.005035631561701919,0.005035631561701938
5414343.5328963995,6861134.97,11,0.275,0.0015294290640715407,0.0015294290640714533
5367503.1620804,6801778.17,12,0.275,0.010218142442528905,0.010218142442528827
5418243.03531465,6866076.47625,13,0.275,0.0008094715199020636,0.0008094715199020385
5398592.1158954,6841174.545000001,14,0.275,0.00444286363072667,0.00444286363072648
5415882.4001554,6863085.045,15,0.275,0.0012452491151374824,0.001245249115137447
5350667.5068289,6780443.7825,16,0.275,0.01335955177692923,0.013359551776929315
5416964.241416399,6864455.97,17,0.275,0.0010455156665482462,0.0010455156665481347
5408756.1503719,6854054.5575,18,0.275,0.002561920164548384,0.0025619201645483035
5417397.69701765,6865005.251250001,19,0.275,0.0009655007114772724,0.0009655007114771644
5383505.06448415,6822056.013750001,20,0.275,0.007241378578602221,0.007241378578602091
4589647.4702732,5816068.11,2,0.3,0.16639235109312003,0.16639235109312
5349274.5363308005,6778678.59,3,0.3,0.013619909660679505,0.013619909660679587
5306857.729737399,6724927.395,4,0.3,0.021580338214588463,0.021580338214588334
5405593.562425599,6850046.88,5,0.3,0.003146806293848864,0.003146806293848743
5391072.280436,6831645.3,6,0.3,0.005836750675271886,0.005836750675271855
5409956.7225128,6855575.94,7,0.3,0.002339976878743695,0.002339976878743648
5366882.1820006,6800991.255,8,0.3,0.010333838622079896,0.010333838622079842
5415455.7360244,6862544.37,9,0.3,0.0013240323549864703,0.001324032354986462
5400840.4920464,6844023.720000001,10,0.3,0.004026477663561092,0.004026477663560957
5416000.971236,6863235.3,11,0.3,0.001223356147612411,0.0012233561476123758
5378528.674583199,6815749.86,12,0.3,0.008166169645558377,0.00816616964555819
5419120.5731706,6867188.505,13,0.3,0.0006475248006331622,0.0006475248006332307
5403399.8376352005,6847266.960000001,14,0.3,0.003552712482873174,0.003552712482873098
5417232.065043201,6864795.36,15,0.3,0.000996075255926743,0.000996075255926798
5365060.150382,6798682.35,16,0.3,0.010673382261248043,0.01067338226124807
5418097.538051999,6865892.1,17,0.3,0.0008363250941398406,0.00083632509413971
5411531.0652164,6857570.970000001,18,0.3,0.0020490111913298967,0.0020490111913297163
5418444.302533,6866331.525,19,0.3,0.0007723260010515359,0.0007723260010514079
5391330.196506199,6831972.135000001,20,0.3,0.005788910893348263,0.00578891089334802
4797893.2838535,6079960.237500001,2,0.325,0.12225154800761989,0.12225154800761977
5367613.5833967,6801918.0975,3,0.325,0.010197570996044111,0.010197570996044096
5335800.97845165,6761604.70125,4,0.325,0.016141710713870383,0.0161417107138703
5409852.8529678,6855444.315,5,0.325,0.0023591767363613622,0.002359176736361204
5398961.891475599,6841643.13,6,0.325,0.004374371491984079,0.004374371491983925
5413125.2230332,6859591.11,7,0.325,0.0017544694818050785,0.0017544694818050004
5380819.317649051,6818652.59625,8,0.325,0.007740380486207546,0.007740380486207568
5417249.4831669,6864817.4325,9,0.325,0.0009928599439035974,0.0009928599439036343
5406288.0501834,6850926.945,10,0.325,0.003018339088305891,0.003018339088305737
5417658.409575599,6865335.63,11,0.325,0.0009173768258869841,0.0009173768258868287
5389554.187086,6829721.55,12,0.325,0.006118381766236273,0.006118381766236288
5419998.11102655,6868300.53375,13,0.325,0.00048560429537193215,0.00048560429537178687
5408207.559375,6853359.375,14,0.325,0.0026633515968468736,0.0026633515968468753
5418581.729931001,6866505.675,15,0.325,0.0007469634379703517,0.0007469634379704608
5379452.793935101,6816920.9175,16,0.325,0.007994370823968148,0.007994370823968151
5419230.8346876,6867328.23,17,0.325,0.000627178254990651,0.0006271782549905373
5414305.9800609,6861087.3825,18,0.325,0.0015363648898907962,0.001536364889890652
5419490.90804835,6867657.79875,19,0.325,0.0005791885854880555,0.0005791885854880793
5399155.32852825,6841888.256250001,20,0.325,0.004338543739621751,0.00433854373962157
5006139.0974338,6343852.365,2,0.35,0.07987358706122072,0.07987358706122064
5385952.6304626,6825157.605,3,0.35,0.006786845773759945,0.006786845773759832
5364744.227165899,6798282.007499999,4,0.35,0.010732267616053342,0.01073226761605326
5414112.14351,6860841.75,5,0.35,0.001572166321205795,0.0015721663212057346
5406851.5025152,6851640.96,6,0.35,0.002914123085164739,0.0029141230851646373
5416293.7235536,6863606.28,7,0.35,0.0011693044030550927,0.0011693044030549836
5394756.4532975005,6836313.9375,8,0.35,0.005153605179976912,0.005153605179976972
5419043.2303094,6867090.495,9,0.35,0.0006617971172943875,0.0006617971172942974
5411735.6083204,6857830.170000001,10,0.35,0.002011214304412209,0.002011214304412073
5419315.8479152,6867435.96,11,0.35,0.0006114910559706586,0.000611491055970555
5400579.6995888,6843693.24,12,0.35,0.004074766015142785,0.004074766015142692
5420875.6488825,6869412.5625,13,0.35,0.00032370999775372744,0.0003237099977536758
5413015.2811148,6859451.79,14,0.35,0.0017747799207419796,0.0017747799207419239
5419931.3948188005,6868215.99,15,0.35,0.0004979136380997465,0.0004979136380997741
5393845.4374882,6835159.485,16,0.35,0.005322488890995311,0.005322488890995256
5420364.1313232,6868764.36,17,0.35,0.00041807513538818006,0.0004180751353880469
5417080.8949053995,6864603.795000001,18,0.35,0.0010239810585028887,0.0010239810585026448
5420537.5135637,6868984.0725,19,0.35,0.00038608845398783786,0.00038608845398784166
5406980.4605503,6851804.3775,20,0.35,0.002890272564091378,0.002890272564091257
5214384.911014101,6607744.4925,2,0.375,0.03915493230698571,0.03915493230698583
5404291.677528501,6848397.1125,3,0.375,0.0033876749799747084,0.0033876749799748055
5393687.47588015,6834959.31375,4,0.375,0.005351774638616063,0.005351774638616022
5418371.4340522,6866239.1850000005,5,0.375,0.0007857743186229457,0.0007857743186228478
5414741.1135548,6861638.79,6,0.375,0.0014560008011956739,0.0014560008011956231
5419462.2240740005,6867621.45,7,0.375,0.0005844813423756746,0.0005844813423757059
5408693.58894595,6853975.2787500005,8,0.375,0.0025734869061259527,0.002573486906125915
5420836.9774519,6869363.5575,9,0.375,0.00033084382077547774,0.0003308438207754328
5417183.1664574,6864733.3950000005,10,0.375,0.0010051017834351317,0.001005101783434978
5420973.2862548,6869536.29,11,0.375,0.0003056987949655937,0.00030569879496554193
5411605.2120916,6857664.93,12,0.375,0.00203530965491844,0.0020353096549183755
5421753.18673845,6870524.5912500005,13,0.375,0.00016184190141647775,0.00016184190141638413
5417823.002854601,6865544.205,14,0.375,0.0008869964045187765,0.0008869964045188344
5421281.0597066,6869926.305,15,0.375,0.0002489258331580721,0.0002489258331581536
5408238.081041301,6853398.0525,16,0.375,0.0026577080401178105,0.0026577080401178695
5421497.4279587995,6870200.49,17,0.375,0.0002090157216251467,0.00020901572162499433
5419855.8097499,6868120.2075000005,18,0.375,0.0005118594956443198,0.0005118594956442838
5421584.119079051,6870310.34625,19,0.375,0.00019302559575537167,0.0001930255957553917
5414805.59257235,6861720.49875,20,0.375,0.0014440928265765252,0.0014440928265764647
5422630.724594399,6871636.62,2,0.4,1.7174737169386347e-16,0.0
5422630.7245944,6871636.62,3,0.4,0.0,0.0
5422630.724594399,6871636.62,4,0.4,1.7174737169386347e-16,0.0
5422630.724594399,6871636.62,5,0.4,1.7174737169386347e-16,0.0
5422630.724594399,6871636.62,6,0.4,1.7174737169386347e-16,0.0
5422630.7245944,6871636.62,7,0.4,0.0,0.0
5422630.7245944,6871636.62,8,0.4,0.0,0.0
5422630.7245944,6871636.62,9,0.4,0.0,0.0
5422630.7245944,6871636.62,10,0.4,0.0,0.0
5422630.724594399,6871636.62,11,0.4,1.7174737169386347e-16,0.0
5422630.724594399,6871636.62,12,0.4,1.7174737169386347e-16,0.0
5422630.7245944,6871636.62,13,0.4,0.0,0.0
5422630.7245944,6871636.62,14,0.4,0.0,0.0
5422630.7245944,6871636.62,15,0.4,0.0,0.0
5422630.7245944,6871636.62,16,0.4,0.0,0.0
5422630.724594399,6871636.62,17,0.4,1.7174737169386347e-16,0.0
5422630.7245944,6871636.62,18,0.4,0.0,0.0
5422630.7245944,6871636.62,19,0.4,0.0,0.0
5422630.724594399,6871636.620000001,20,0.4,1.7174737169386347e-16,1.3553140628898366e-16
